name,transcription
1 /Company/20260220 160847.wav,नमस्कार कम्पनीको नाममा यहाँलाई स्वागत छ
1 /Company/20260220 160901.wav,म रिसेप्सनमा छु हजुर कसलाई भेट्न चाहनुहुन्छ
1 /Company/20260220 160937.wav,हाम्रा उत्पादनहरूमा एक वर्षको वारन्टी छ
1 /Company/20260220 161005.wav,अर्डर गर्नका लागि वेबसाइट हेर्नुहोस्
1 /Company/20260220 161014.wav,सामान डेलिभरी हुन दुई दिन लाग्छ
1 /Company/20260220 161020.wav,हजुरको भुक्तानी पेमेन्ट प्राप्त भयो
1 /Company/20260220 161028.wav,यो सामानको स्टक सकिएको छ
1 /Company/20260220 161038.wav,थोक मूल्य होलसेल प्राइसमा किन्न दसवटा लिनुपर्छ
1 /Company/20260220 161253.wav,फिर्ता गर्ने नीति रिटर्न पोलिसी बिलमा लेखिएको छ
1 /Company/20260220 161308.wav,हजुरको गुनासो सम्बन्धित विभागमा पठाइएको छ
1 /Company/20260220 161323.wav,हाम्रो नयाँ शाखा दरबार मार्गमा खोलेको छ
1 /Company/20260220 161328.wav,मिटिङ रूम बुक गर्न इमेल गर्नुहोस्
1 /Company/20260220 161338.wav,एटर म्यानेजरसँग भेट्न अपोइन्टमेन्ट चाहिन्छ
1 /Company/20260220 161344.wav,कोटेसन पठाउन इमेल ठेगाना दिनुहोस्
1 /Company/20260220 161351.wav,कृपया आगन्तुक पुस्तिका भजिटरलगमा नाम लेख्नुहोस्
1 /Company/20260220 161535.wav,आज हाम्रो सिस्टम अपडेट हुँदैछ
1 /Company/20260220 161543.wav,हजुरको अर्डर नम्बर कति हो
1 /Company/20260220 161548.wav,दसैँको अवसरमा दश प्रतिशत छुट छ
1 /Company/20260220 161555.wav,हामी गुणस्तरतामा सम्झौता गर्दैनौँ
1 /Company/20260220 161609.wav,डिलर बन्नका लागि शर्तहरू छन्
1 /Company/20260220 161615.wav,हजुरको प्रतिक्रिया फिडब्याकको लागि धन्यवाद
1 /Company/20260220 161621.wav,बिल हराएमा सामान सााट्न मिल्दैन
1 /Company/20260220 161628.wav,कृपया लबीमा बसेर प्रतीक्षा गर्नुहोस्
1 /Company/20260220 161634.wav,यो अफर सीमित अवधिको लागि हो
1 /Company/20260220 161641.wav,हाम्रो सेवा मन पर्यो भने साथीहरूलाई भन्नुहोला
1 /Company/20260220 161648.wav,करबिचक ट्याक्स इन्भोइस लिन नबिर्सिनुहोला
1 /Company/20260220 161704.wav,अफिस समय बिहान दसदेखि पाँचसम्म हो
1 /Company/20260220 161710.wav,कुनै प्राविधिक समस्या भए खबर गर्नुहोस्
1 /Company/20260220 161717.wav,हजुरको सदस्यता नवीकरण गर्ने बेला भयो
1 /Company/20260220 161723.wav,सामान प्याकिङ राम्रोसँग गरिदिनुहोस् है
1 /Company/20260220 161730.wav,नगद वा कार्ड दुवैबाट तिर्न मिल्छ
1 /Company/20260220 161738.wav,हामी ग्राहकको सन्तुष्टिलाई प्राथमिकता दिन्छौँ
1 /Company/20260220 161746.wav,यो मोडलको अर्को रङ पनि उपलब्ध छ
1 /Company/20260220 161752.wav,हजुरको विश्वास नै हाम्रो सम्पत्ति हो
1 /Company/20260220 161758.wav,सेल्स टिमसँग कुरा गर्न चाहनुहुन्छ
1 /Company/20260220 161804.wav,कृपया गेटपास लिएर जानहोला
